0,20721653.0496471077
1000000000,20710271.3989537805
2000000000,22170465.7668143772
3000000000,22192696.3253074847
4000000000,22215643.6955426261
5000000000,22239308.2913411036
6000000000,22440849.9848742746
7000000000,22470602.6888184287
8000000000,23153076.4015110806
9000000000,23114065.4895459563
10000000000,23075776.4113012590
11000000000,23038220.6476723142
12000000000,23001398.3600265831
13000000000,22867797.4487675019
14000000000,22890707.7068944462
15000000000,22895365.1434811652
16000000000,20590323.9773205370
17000000000,20585609.8557527512
18000000000,20581294.5218660124
19000000000,20577378.7387091741
20000000000,20573859.2303613871
21000000000,0.0000000000
22000000000,0.0000000000
23000000000,0.0000000000
24000000000,0.0000000000
25000000000,0.0000000000
26000000000,20561026.5135998838
27000000000,20560260.7395311110
28000000000,20559886.0748928674
29000000000,20559903.8230081014
