0,20721653.0496471077
1000000000,20710271.3989537805
2000000000,20699324.3739959002
3000000000,20688811.3156211041
4000000000,20678727.8360601924
5000000000,20669070.8573955670
6000000000,20659837.7240320928
7000000000,20651025.6067776270
8000000000,20642635.8141236790
9000000000,20634659.6659193560
10000000000,20627099.4140281454
11000000000,20619949.7883531749
12000000000,20613211.8354449980
13000000000,20606883.3798351921
14000000000,20600957.9737235866
15000000000,20595439.9826674424
16000000000,20590323.9773205370
17000000000,20585609.8557527512
18000000000,20581294.5218660124
19000000000,20577378.7387091741
20000000000,20573859.2303613871
21000000000,20570735.4462968260
22000000000,20568008.2994993776
23000000000,20565672.8694956079
24000000000,20563732.1027717032
25000000000,20562183.4523423649
26000000000,20561026.5135998838
27000000000,20560260.7395311110
28000000000,20559886.0748928674
29000000000,20559903.8230081014
